system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,random_forest_n_estimators,random_forest_n_jobs,nb_input_graphs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,end_time,duration
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38193315840,2023_10_21_23_26_28_917823,26,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_57_917311,28.999488 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38214578176,2023_10_21_23_26_30_914194,28,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,1.0,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_26_58_159894,27.2457 total sec (00h 00m 27s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38190227456,2023_10_21_23_26_32_479524,29,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,1.0,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_27_00_211846,27.732322 total sec (00h 00m 27s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38220705792,2023_10_21_23_26_55_221702,30,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,1.0,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_27_24_152490,28.930788 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38229348352,2023_10_21_23_26_57_343744,32,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_27_24_677029,27.333285 total sec (00h 00m 27s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38208356352,2023_10_21_23_26_57_919156,33,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_27_26_011704,28.092548 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38217158656,2023_10_21_23_26_58_161053,34,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_27_27_120817,28.959764 total sec (00h 00m 28s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38290563072,2023_10_21_23_27_23_810145,36,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,100,0.5,0.5,10,8,16,100,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_28_16_446071,52.635926 total sec (00h 00m 52s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38270275584,2023_10_21_23_27_24_154309,37,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,100,0.5,0.5,10,8,16,500,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_28_17_224980,53.070671 total sec (00h 00m 53s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,38267183104,2023_10_21_23_27_24_678259,38,random-forest-pipeline,/home/onyr/code/phdtrack/mem2graph/data/5_filtered_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_min-of-chunk-treshold-entropy_-s_activate,node2vec,128,16,100,0.5,0.5,10,8,16,1000,5,3,152.5,0.993485342019544,1.0,0.9967320261437909,915.0,0.0,0.0,0.0,6.0,0,915,0,6,0.5,2023_10_21_23_28_18_886041,54.207782 total sec (00h 00m 54s)
