system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,nb_input_graphs,duration_embedding,subpipeline_name,index,pipeline_name,input_mem2graph_dataset_dir_path,node_embedding,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,random_forest_n_estimators,random_forest_n_jobs,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,duration_train_test
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,384359219200,2023_10_27_15_56_49_841658,16,1148.052617 total sec (00h 19m 08s),logistic-regression-pipeline,24,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,100,5,496.3333333333333,0.9979889391654098,0.9998321020819342,0.9989096703849704,11912.0,0.0,0.0,0.0,24.0,0,11910,2,24,0.4999160510409671,1.409209 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,384359219200,2023_10_27_15_56_49_842864,16,1141.398845 total sec (00h 19m 01s),logistic-regression-pipeline,25,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,500,5,496.3333333333333,0.9982348491216273,0.9969778374748153,0.9976059473308413,11912.0,0.07692307692307693,0.125,0.09523809523809525,24.0,3,11876,36,21,0.5609889187374076,1.35404 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,384359219200,2023_10_27_15_56_49_841116,16,1158.298959 total sec (00h 19m 18s),logistic-regression-pipeline,29,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.0,10,8,16,500,5,496.3333333333333,0.9979872525997987,0.9989926124916051,0.9984896794764222,11912.0,0.0,0.0,0.0,24.0,0,11900,12,24,0.49949630624580255,1.275121 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,384359219200,2023_10_27_15_56_49_843026,16,1162.885967 total sec (00h 19m 22s),logistic-regression-pipeline,26,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,0.5,10,8,16,1000,5,496.3333333333333,0.9979892761394102,1.0,0.9989936262998994,11912.0,0.0,0.0,0.0,24.0,0,11912,0,24,0.5,1.172211 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366181142528,2023_10_27_16_16_50_864256,16,1176.622572 total sec (00h 19m 36s),logistic-regression-pipeline,32,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,100,5,496.3333333333333,0.9987358840384292,0.9948791134989926,0.9968037681890823,11912.0,0.12857142857142856,0.375,0.19148936170212766,24.0,9,11851,61,15,0.6849395567494964,1.963061 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366181142528,2023_10_27_16_16_50_862192,16,1168.057854 total sec (00h 19m 28s),logistic-regression-pipeline,33,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,500,5,496.3333333333333,0.9981549815498155,0.9991605104096709,0.9986574928679308,11912.0,0.16666666666666666,0.08333333333333333,0.1111111111111111,24.0,2,11902,10,22,0.541246921871502,1.691072 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366181142528,2023_10_27_16_16_50_863372,16,1178.216651 total sec (00h 19m 38s),logistic-regression-pipeline,34,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.5,10,8,16,1000,5,496.3333333333333,0.9983146540827504,0.994543317662861,0.9964254173850876,11912.0,0.057971014492753624,0.16666666666666666,0.08602150537634408,24.0,4,11847,65,20,0.5806049921647639,1.275144 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,366181142528,2023_10_27_16_16_50_862641,16,1179.4804 total sec (00h 19m 39s),logistic-regression-pipeline,30,classic-ml-pipeline,/root/phdtrack/mem2graph/data/3_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-semantic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,1.5,1.0,10,8,16,1000,5,496.3333333333333,0.9981515711645101,0.9973136333109469,0.9977324263038548,11912.0,0.058823529411764705,0.08333333333333333,0.06896551724137931,24.0,2,11880,32,22,0.5403234833221401,1.278351 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,389650915328,2023_10_27_16_37_16_698124,16,1432.991083 total sec (00h 23m 52s),logistic-regression-pipeline,37,classic-ml-pipeline,/root/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,0.5,10,8,16,500,5,496.3333333333333,0.9980701459976506,0.9985728676964406,0.9983214435585397,11912.0,0.05555555555555555,0.041666666666666664,0.04761904761904762,24.0,1,11895,17,23,0.5201197671815537,1.575377 total sec (00h 00m 01s)
Linux,rascoussie,5.4.0-165-generic,#182-Ubuntu SMP Mon Oct 2 19:43:28 UTC 2023,x86_64,x86_64,40,80,540661145600,389650915328,2023_10_27_16_37_16_698935,16,1444.703266 total sec (00h 24m 04s),logistic-regression-pipeline,40,classic-ml-pipeline,/root/phdtrack/mem2graph/data/4_graph_with_embedding_comments_-v_-a_chunk-header-node_-c_chunk-statistic-embedding_-e_only-max-entropy_-s_activate,node2vec,128,16,50,0.5,1.0,10,8,16,100,5,496.3333333333333,0.99806998405639,0.9984889187374076,0.9982794074447101,11912.0,0.05263157894736842,0.041666666666666664,0.04651162790697675,24.0,1,11894,18,23,0.5200777927020371,1.440292 total sec (00h 00m 01s)
